1.1,"the names of the persons who, at any time during the financial year, were directors;",Directors' Report,Section 416(1)(a) CA 06
1.2,the amount (if any) that the directors recommend be paid by way of dividend;10F10F ,Directors' Report,Section 416(3) CA 06
1.2.1,"a statement by the directors that:PARAso far as the directors are aware, there is no relevant audit information11F11F  of which the auditors are unaware; andPARAthe directors have taken all reasonable steps to ascertain any relevant audit information and ensure the auditors are aware of such information;12F12F ",Directors' Report,Section 418(2) CA 06
1.2.2,"disclosure of any:PARAqualifying third party indemnity provisions; andPARAqualifying pension scheme indemnity provisions,PARAfor the benefit of directors of the company or directors of associated companies, stating that such provisions are or were in force during the financial year;",Directors' Report,Section 236 CA 06
1.3,"where a company has chosen to set out information required to be contained in the directors' report under Schedule 7 of LMCG Regs in the strategic report,13F13F  a statement that it has done so and the information in respect of which it has done so;",Directors' Report,Schedule 7 Part 1 para 1A LMCG Regs
1.4,"specified particulars of political contributions exceeding £2,000 made during the relevant year and a statement on amount of contribution(s) made to a non-EU political party during the year;",Directors' Report,Schedule 7 Part 1 paras 3 and 4 LMCG Regs
1.5,"risk management objectives and policies, including hedging policies, and exposure (including price/credit/liquidity/cash flow risk) of the company in relation to the use of financial instruments unless such information is not material for the assessment of the assets, liabilities, financial position and profit or loss of the company;14F14F ",Directors' Report,Schedule 7 Part 1 para 6 LMCG RegsPARADTR 4.1.11(6)
1.6,particulars of important post-balance sheet events of the company or its subsidiaries;15F15F ,Directors' Report,Schedule 7 Part 1 para 7(1)(a) LMCG RegsPARADTR 4.1.11(1)
1.7,an indication of likely future developments in the business of the company or its subsidiaries;,Directors' Report,Schedule 7 Part 1 para 7(1)(b) LMCG RegsPARADTR 4.1.11(2)
1.8,an indication of research and development activities of the company or its subsidiaries;,Directors' Report,Schedule 7 Part 1 para 7(1)(c) LMCG RegsPARADTR 4.1.11(3)
1.9,the existence of branches outside the UK;,Directors' Report,Schedule 7 Part 1 para 7(1)(d) LMCG RegsPARADTR 4.1.11(5)
1.1,particulars of acquisitions of own shares (including number and nominal value and reasons for their purchase) or charges on them;16F16F ,Directors' Report,Schedule 7 Part 2 paras 8 and 9 LMCG RegsPARADTR 4.1.11(4)
1.10.1,"if, on average, the company employed more than 250 people during the financial year17F17F , a description of the company's policies on:PARAgiving full and fair consideration to applications for employment made by disabled persons;PARAcontinuing the employment of, and arranging training for, employees who have become disabled; andPARAthe training, career development and promotion of disabled persons;",Directors' Report,Schedule 7 Part 3 para 10 LMCG Regs
